description,start time,end time,timestep,iterations,courant #,gravitational constant,Number of Particles,mass_1,qx_1,qy_1,qz_1,px_1,py_1,pz_1,mass_2,qx_2,qy_2,qz_2,px_2,py_2,pz_2,mass_3,qx_3,qy_3,qz_3,px_3,py_3,pz_3,mass_4,qx_4,qy_4,qz_4,px_4,py_4,pz_4,mass_5,qx_5,qy_5,qz_5,px_5,py_5,pz_5,mass_6,qx_6,qy_6,qz_6,px_6,py_6,pz_6,mass_7,qx_7,qy_7,qz_7,px_7,py_7,pz_7
mc-massive-equal two equal-mass particles scattering,0,100000,1000,0,1,1,0,1,50000,50,0,-0.001,0,0,1,-50000,-50,0,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc-massive-non-equal two non-equal-mass particles scattering,0,100000,1000,0,1,1,0,1,50000,50,0,-0.001,0,0,2,-50000,-50,0,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST PARTICLE TESTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tporb-0.50 newtonian orbit with an eccentricity of 0.50,0,1.23E+16,6.15E+13,0,0,1,1,1,0,0,0,0,-3.27E-12,0,0.000000166,3860700000,0,0,0,3.27E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tporb-0.95 newtonian orbit with an eccentricity of 0.95,0,2.70E+16,2.7E+13,0,0,1,1,1,0,0,0,0,-3.73E-12,0,0.000000166,3860700000,0,0,0,3.73E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPScMV,0,100000,1000,0,1,1,1,1,0,0,0,0,0,0,0.01,-50000,-50,0,0.0001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPScML,0,100000,1000,0,1,1,1,1,0,0,0,0,0,0,0,-50000,-50,0,0.0001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPMLS,0,100000,1000,0,1,1,1,0,50000,50,0,-0.01,0,0,0,-50000,-50,0,0.0001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPFiveParticles,0,0.25,0.05,0,0,1,3,1,0,0,0,0,0,0,0.5411961,0.519201218,-18.97028096,0,0.371632666,0.022678063,0,0,-1.751135422,18.19580816,0,-0.371632666,-0.022678063,0,0,1.168532533,-18.60118413,0,0.524947976,0.032866418,0,0.001,-1.168532533,18.60118413,0,-0.524947976,-0.032866418,0,,,,,,,,,,,,,,
SCRIPT TESTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multest test for plotting multiple particles,0,100000,10,0,1,1,0,0,50000,5,5,-0.001,0,0,0,-50000,-5,-5,0.001,0,0,0,-5,50000,5,0,-0.001,0,0,5,-50000,5,0,0.001,0,,,,,,,,,,,,,,,,,,,,,
half-multest test for timing of different number of particles,0,100000,10,0,1,1,0,0,50000,5,5,-0.001,0,0,0,-50000,-5,-5,0.001,0,0,0,-5,50000,5,0,-0.001,0,0,5,-50000,5,0,0.001,0,,,,,,,,,,,,,,,,,,,,,
lengthy test for terminal printing bottleneck,0,1.507E+15,15070000000,0,1,1,0,1,0,0,0,0,-2.67E-12,0,0.000000166,3860700000,0,0,0,2.67E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spherical circular orbit around each axis,0,7.535E+14,1.507E+13,0,1,1,0,1,0,0,0,0,0,0,0.000000166,-3860700000,0,0,0,-2.67E-12,0,0.000000166,3860700000,0,0,0,2.67E-12,0,0.000000166,0,0,-3860700000,-2.67E-12,0,0,0.000000166,0,0,3860700000,2.67E-12,0,0,0.000000166,0,-3860700000,0,0,0,-2.67E-12,0.000000166,0,3860700000,0,0,0,2.67E-12
halfspherical circular orbit around each axis--half as many particles,0,1.507E+15,1.507E+13,0,1,1,0,1,0,0,0,0,0,0,0.000000166,3860700000,0,0,0,2.67E-12,0,0.000000166,0,0,3860700000,2.67E-12,0,0,0.000000166,0,3860700000,0,0,0,2.67E-12,,,,,,,,,,,,,,,,,,,,,
OTHER TESTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precession-test model of precession with eccen. of 0.1 (3 orbits),0,4.521E+15,4521000000,0,1,1,0,1,0,0,0,0,-2.80E-12,0,0.000000166,3860700000,0,0,0,2.80E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precession-test-closer model of precession with eccen. of 0.1 (3 orbits),0,5.29586E+15,5295859349,0,1,1,0,1,0,0,0,0,-1.74E-09,0,0.000000166,10000,0,0,0,1.74E-09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precession-test-fast model of precession with eccen. of 0.12 (3 orbits),0,25000000,10000,0,0.001,1,0,1,0,0,0,0,-1.06E-08,0,0.000001,-10000,0,0,0,1.06E-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LD-scatter-massless-massive massless particle deflecting off stationary massive particle,0,100000,1000,0,0.1,1,0,1,0,0,0,-2.00E-12,0,0,0,-50000,500,0,2.00E-12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LD-scatter-massive-massive massive particle deflecting off stationary massive particle,0,100000,1000,0,0.1,1,0,60,0,0,0,-0.000002,0,0,0.0000002,-50000,1000,0,0.000002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LD-scatter-massless-massless deflection of two photons,0,100000,1000,0,0.1,1,0,0,50000,50,0,-0.001,0,0,0,-50000,-50,0,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scatterCPA-massless-massless deflection of two photons,0,25,0.25,0,0,1,0,0,1.067761249,49.99848548,0,-0.001000031,-3.11E-08,0,0,-1.06776125,-49.99848547,0,0.001000031,3.11E-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scatterCPA-massless-massive massless particle deflecting off stationary massive particle,0,250,2.5,0,0,1,0,1,-0.0000001,2.82E-12,0,-2.01E-12,7.76E-15,0,0,-19.5519457,498.0930586,0,2.01E-12,-7.76E-15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth-orbit,0,1.507E+15,1.507E+11,0,0,1,0,1,0,0,0,0,-3.03E-10,0,3.00E-06,9.81E+07,0.00E+00,0.00E+00,0.00E+00,3.03E-10,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
